,userId,night_inputDt,pmEmotion,pmStress,ifUnusual,breakfast,lunch,dinner,lateSnack,amCaffeine,amCaffAmount,pmCaffeine,pmCaffAmount,alcohol,aAmount,date,sleep,inputDt,sleepProblem,dream,amCondition,amEmotion,total_CaffAmount,date_m,startDt,endDt,device,sleep_score,total_sleep_time,time_in_bed,waso,wakeupcount,aal,movement_index,fragmentation_index,sleep_frag_index
0,30,2018-11-15 23:23,3.0,2.0,2.0,4.0,1.0,3.0,4.0,,,coffee,1.0,,,2018-11-15,3.0,2018-11-16 10:13,0.0,4.0,3.0,2.0,,2018-11-16,2018-11-16 1:30,2018-11-16 8:52,Fitbit,88.9256198,16140,18150,,,,,,
0,30,2018-11-16 22:26,3.0,2.0,1.0,3.0,3.0,1.0,1.0,,,,,,,2018-11-16,3.0,2018-11-17 8:25,2.0,4.0,2.0,2.0,,2018-11-17,2018-11-17 1:44,2018-11-17 6:30,Fitbit,90.8665105,23280,25620,,,,,,
0,30,2018-11-17 21:26,4.0,3.0,1.0,3.0,3.0,2.0,4.0,,,,,,,2018-11-17,3.0,2018-11-18 9:03,0.0,4.0,3.0,3.0,,2018-11-18,2018-11-18 1:11,2018-11-18 7:48,Fitbit,86.5470852,28950,33450,,,,,,
0,30,2018-11-18 22:55,4.0,4.0,1.0,3.0,3.0,3.0,4.0,,,,,,,2018-11-18,4.0,2018-11-19 22:25,0.0,4.0,4.0,4.0,,2018-11-19,2018-11-18 20:18,2018-11-19 12:14,Fitbit,85.7317073,21090,24600,,,,,,
0,30,2018-11-20 22:49,3.0,3.0,2.0,3.0,3.0,3.0,4.0,,,,,,,2018-11-20,2.0,2018-11-21 9:32,0.0,4.0,2.0,3.0,,2018-11-21,2018-11-21 2:24,2018-11-21 9:14,Fitbit,88.3243243,24510,27750,,,,,,
0,30,2018-11-22 22:17,3.0,3.0,2.0,3.0,3.0,3.0,4.0,,,,,,,2018-11-22,3.0,2018-11-23 10:24,0.0,4.0,2.0,3.0,,2018-11-23,2018-11-23 5:23,2018-11-23 11:47,Fitbit,86.5279299,23700,27390,,,,,,
0,30,2018-11-23 23:31,3.0,2.0,1.0,2.0,2.0,3.0,4.0,,,,,,,2018-11-23,3.0,2018-11-24 12:10,0.0,4.0,3.0,3.0,,2018-11-24,2018-11-24 3:32,2018-11-24 10:40,Fitbit,86.3171355,20250,23460,,,,,,
0,30,2018-11-24 22:45,3.0,2.0,1.0,4.0,1.0,3.0,,,,,,,,2018-11-24,2.0,2018-11-25 13:54,1.0,4.0,2.0,2.0,,2018-11-25,2018-11-25 1:29,2018-11-25 15:57,Fitbit,86.9947276,29700,34140,,,,,,
0,30,2018-11-25 22:44,3.0,3.0,1.0,3.0,3.0,2.0,4.0,coffee,1.0,,,,,2018-11-25,3.0,2018-11-26 9:54,1.0,4.0,2.0,3.0,,2018-11-26,2018-11-26 1:46,2018-11-26 9:08,Fitbit,84.1191067,10170,12090,,,,,,
0,30,2018-11-27 23:36,3.0,1.0,2.0,2.0,3.0,3.0,,,,,,,,2018-11-27,2.0,2018-11-28 9:11,0.0,4.0,2.0,2.0,,2018-11-28,2018-11-28 1:24,2018-11-28 7:47,Fitbit,89.3591294,22170,24810,,,,,,
